Order_ID,Date,Customer,Product,Category,Region,Sales,Cost,Profit
1106,2026-04-20,Maria Lee,Phone,Electronics,Osaka,284323,170593.8,113729.2
1107,2026-04-21,Ken Ito,Chair,Furniture,Kyoto,479909,287945.4,191963.6
1108,2026-04-22,Anna Kim,Desk,Furniture,Tokyo,412428,247456.8,164971.2
1109,2026-04-23,David Park,Table,Electronics,Nagoya,471642,282985.2,188656.8
1110,2026-04-24,John Smith,Laptop,Electronics,Tokyo,349962,209977.2,139984.8
1111,2026-04-25,Maria Lee,Phone,Electronics,Osaka,493356,296013.6,197342.4
1112,2026-04-26,Ken Ito,Chair,Furniture,Kyoto,342771,205662.6,137108.4
1113,2026-04-27,Anna Kim,Desk,Furniture,Tokyo,293361,176016.6,117344.4
1114,2026-04-28,David Park,Table,Electronics,Nagoya,451348,270808.8,180539.2
1115,2026-04-29,John Smith,Laptop,Electronics,Tokyo,234017,140410.2,93606.8
1116,2026-04-30,Maria Lee,Phone,Electronics,Osaka,255733,153439.8,102293.2
1117,2026-05-01,Ken Ito,Chair,Furniture,Kyoto,256827,154096.2,102730.8
1118,2026-05-02,Anna Kim,Desk,Furniture,Tokyo,493683,296209.8,197473.2
1119,2026-05-03,David Park,Table,Electronics,Nagoya,290214,174128.4,116085.6
1120,2026-05-04,John Smith,Laptop,Electronics,Tokyo,334471,200682.6,133788.4
1121,2026-05-05,Maria Lee,Phone,Electronics,Osaka,371560,222936,148624
1122,2026-05-06,Ken Ito,Chair,Furniture,Kyoto,98038,58822.8,39215.2
1123,2026-05-07,Anna Kim,Desk,Furniture,Tokyo,151624,90974.4,60649.6
1124,2026-05-08,David Park,Table,Electronics,Nagoya,153410,92046,61364
1125,2026-05-09,John Smith,Laptop,Electronics,Tokyo,101138,60682.8,40455.2
1126,2026-05-10,Maria Lee,Phone,Electronics,Osaka,32483,19489.8,12993.2
1127,2026-05-11,Ken Ito,Chair,Furniture,Kyoto,236475,141885,94590
1128,2026-05-12,Anna Kim,Desk,Furniture,Tokyo,168652,101191.2,67460.8
1129,2026-05-13,David Park,Table,Electronics,Nagoya,206243,123745.8,82497.2
1130,2026-05-14,John Smith,Laptop,Electronics,Tokyo,415230,249138,166092
1131,2026-05-15,Maria Lee,Phone,Electronics,Osaka,479325,287595,191730
1132,2026-05-16,Ken Ito,Chair,Furniture,Kyoto,262017,157210.2,104806.8
1133,2026-05-17,Anna Kim,Desk,Furniture,Tokyo,420939,252563.4,168375.6
1134,2026-05-18,David Park,Table,Electronics,Nagoya,406162,243697.2,162464.8
1135,2026-05-19,John Smith,Laptop,Electronics,Tokyo,382551,229530.6,153020.4
1136,2026-05-20,Maria Lee,Phone,Electronics,Osaka,307730,184638,123092
1137,2026-05-21,Ken Ito,Chair,Furniture,Kyoto,13607,8164.2,5442.8
1138,2026-05-22,Anna Kim,Desk,Furniture,Tokyo,132465,79479,52986
1139,2026-05-23,David Park,Table,Electronics,Nagoya,269438,161662.8,107775.2
1140,2026-05-24,John Smith,Laptop,Electronics,Tokyo,344961,206976.6,137984.4
1141,2026-05-25,Maria Lee,Phone,Electronics,Osaka,343752,206251.2,137500.8
1142,2026-05-26,Ken Ito,Chair,Furniture,Kyoto,388683,233209.8,155473.2
1143,2026-05-27,Anna Kim,Desk,Furniture,Tokyo,454603,272761.8,181841.2
1144,2026-05-28,David Park,Table,Electronics,Nagoya,455884,273530.4,182353.6
1145,2026-05-29,John Smith,Laptop,Electronics,Tokyo,275692,165415.2,110276.8
1146,2026-05-30,Maria Lee,Phone,Electronics,Osaka,114884,68930.4,45953.6
1147,2026-05-31,Ken Ito,Chair,Furniture,Kyoto,287370,172422,114948
1148,2026-06-01,Anna Kim,Desk,Furniture,Tokyo,215970,129582,86388
1149,2026-06-02,David Park,Table,Electronics,Nagoya,384288,230572.8,153715.2
1150,2026-06-03,John Smith,Laptop,Electronics,Tokyo,463865,278319,185546
1151,2026-06-04,Maria Lee,Phone,Electronics,Osaka,363026,217815.6,145210.4
1152,2026-06-05,Ken Ito,Chair,Furniture,Kyoto,300709,180425.4,120283.6
1153,2026-06-06,Anna Kim,Desk,Furniture,Tokyo,23522,14113.2,9408.8
1154,2026-06-07,David Park,Table,Electronics,Nagoya,225273,135163.8,90109.2
1155,2026-06-08,John Smith,Laptop,Electronics,Tokyo,379992,227995.2,151996.8
1156,2026-06-09,Maria Lee,Phone,Electronics,Osaka,87114,52268.4,34845.6
1157,2026-06-10,Ken Ito,Chair,Furniture,Kyoto,144537,86722.2,57814.8
1158,2026-06-11,Anna Kim,Desk,Furniture,Tokyo,100910,60546,40364
1159,2026-06-12,David Park,Table,Electronics,Nagoya,65217,39130.2,26086.8
1160,2026-06-13,John Smith,Laptop,Electronics,Tokyo,140492,84295.2,56196.8
1161,2026-06-14,Maria Lee,Phone,Electronics,Osaka,345439,207263.4,138175.6
1162,2026-06-15,Ken Ito,Chair,Furniture,Kyoto,455040,273024,182016
1163,2026-06-16,Anna Kim,Desk,Furniture,Tokyo,355788,213472.8,142315.2
1164,2026-06-17,David Park,Table,Electronics,Nagoya,498605,299163,199442
1165,2026-06-18,John Smith,Laptop,Electronics,Tokyo,183724,110234.4,73489.6
1166,2026-06-19,Maria Lee,Phone,Electronics,Osaka,380506,228303.6,152202.4
1167,2026-06-20,Ken Ito,Chair,Furniture,Kyoto,135280,81168,54112
1168,2026-06-21,Anna Kim,Desk,Furniture,Tokyo,374606,224763.6,149842.4
1169,2026-06-22,David Park,Table,Electronics,Nagoya,436286,261771.6,174514.4
1170,2026-06-23,John Smith,Laptop,Electronics,Tokyo,467094,280256.4,186837.6
1171,2026-06-24,Maria Lee,Phone,Electronics,Osaka,87985,52791,35194
1172,2026-06-25,Ken Ito,Chair,Furniture,Kyoto,99722,59833.2,39888.8
1173,2026-06-26,Anna Kim,Desk,Furniture,Tokyo,250477,150286.2,100190.8
1174,2026-06-27,David Park,Table,Electronics,Nagoya,408039,244823.4,163215.6
1175,2026-06-28,John Smith,Laptop,Electronics,Tokyo,340038,204022.8,136015.2
1176,2026-06-29,Maria Lee,Phone,Electronics,Osaka,132198,79318.8,52879.2
1177,2026-06-30,Ken Ito,Chair,Furniture,Kyoto,73161,43896.6,29264.4
1178,2026-07-01,Anna Kim,Desk,Furniture,Tokyo,122417,73450.2,48966.8
1179,2026-07-02,David Park,Table,Electronics,Nagoya,226856,136113.6,90742.4
1180,2026-07-03,John Smith,Laptop,Electronics,Tokyo,438439,263063.4,175375.6
1181,2026-07-04,Maria Lee,Phone,Electronics,Osaka,214165,128499,85666
1182,2026-07-05,Ken Ito,Chair,Furniture,Kyoto,379104,227462.4,151641.6
1183,2026-07-06,Anna Kim,Desk,Furniture,Tokyo,114280,68568,45712
1184,2026-07-07,David Park,Table,Electronics,Nagoya,52157,31294.2,20862.8
1185,2026-07-08,John Smith,Laptop,Electronics,Tokyo,191921,115152.6,76768.4
1186,2026-07-09,Maria Lee,Phone,Electronics,Osaka,165713,99427.8,66285.2
1187,2026-07-10,Ken Ito,Chair,Furniture,Kyoto,345358,207214.8,138143.2
1188,2026-07-11,Anna Kim,Desk,Furniture,Tokyo,50931,30558.6,20372.4
1189,2026-07-12,David Park,Table,Electronics,Nagoya,203353,122011.8,81341.2
1190,2026-07-13,John Smith,Laptop,Electronics,Tokyo,473793,284275.8,189517.2
1191,2026-07-14,Maria Lee,Phone,Electronics,Osaka,95119,57071.4,38047.6
1192,2026-07-15,Ken Ito,Chair,Furniture,Kyoto,358956,215373.6,143582.4
1193,2026-07-16,Anna Kim,Desk,Furniture,Tokyo,226683,136009.8,90673.2
1194,2026-07-17,David Park,Table,Electronics,Nagoya,243754,146252.4,97501.6
1195,2026-07-18,John Smith,Laptop,Electronics,Tokyo,260740,156444,104296
1196,2026-07-19,Maria Lee,Phone,Electronics,Osaka,111368,66820.8,44547.2
1197,2026-07-20,Ken Ito,Chair,Furniture,Kyoto,11091,6654.6,4436.4
1198,2026-07-21,Anna Kim,Desk,Furniture,Tokyo,60185,36111,24074
1199,2026-07-22,David Park,Table,Electronics,Nagoya,135709,81425.4,54283.6
1200,2026-07-23,John Smith,Laptop,Electronics,Tokyo,225092,135055.2,90036.8
1201,2026-07-24,Maria Lee,Phone,Electronics,Osaka,246415,147849,98566
